week_start,week_end,count,weekly_pct_change
2025-11-24,2025-11-30,633,
2025-12-01,2025-12-07,1620,155.9241706161137
2025-12-08,2025-12-14,3409,110.4320987654321
2025-12-15,2025-12-21,2264,-33.5875623349956
2025-12-22,2025-12-28,1719,-24.072438162544174
2025-12-29,2026-01-04,1423,-17.21931355439209
2026-01-05,2026-01-11,1472,3.4434293745607913
2026-01-12,2026-01-18,1675,13.790760869565212
2026-01-19,2026-01-25,2123,26.74626865671641
2026-01-26,2026-02-01,1575,-25.812529439472442
2026-02-02,2026-02-08,1511,-4.063492063492069
2026-02-09,2026-02-15,106,-92.98477829252151
2026-02-16,2026-02-22,2051,1834.9056603773583
2026-02-23,2026-03-01,2322,13.213066796684547
2026-03-02,2026-03-08,2526,8.785529715762275
2026-03-09,2026-03-15,989,-60.84718923198733
2026-03-16,2026-03-22,410,-58.54398382204246
