week_start,week_end,count,weekly_pct_change,total_pct_change
2025-12-01,2025-12-07,118,,-91.52542372881356
2025-12-08,2025-12-14,711,502.54237288135596,-91.52542372881356
2025-12-15,2025-12-21,430,-39.52180028129395,-91.52542372881356
2025-12-22,2025-12-28,527,22.558139534883725,-91.52542372881356
2025-12-29,2026-01-04,428,-18.785578747628083,-91.52542372881356
2026-01-05,2026-01-11,358,-16.355140186915882,-91.52542372881356
2026-01-12,2026-01-18,680,89.94413407821229,-91.52542372881356
2026-01-19,2026-01-25,850,25.0,-91.52542372881356
2026-01-26,2026-02-01,547,-35.647058823529406,-91.52542372881356
2026-02-02,2026-02-08,386,-29.433272394881172,-91.52542372881356
2026-02-09,2026-02-15,76,-80.31088082901555,-91.52542372881356
2026-02-16,2026-02-22,83,9.210526315789469,-91.52542372881356
2026-02-23,2026-03-01,22,-73.49397590361446,-91.52542372881356
2026-03-02,2026-03-08,36,63.63636363636365,-91.52542372881356
2026-03-09,2026-03-15,16,-55.55555555555556,-91.52542372881356
2026-03-16,2026-03-22,10,-37.5,-91.52542372881356
